word,chinese,length,ipa,syllables,stress,prefix_tag,suffix_tag,rhyme_group,semantic_tag,antonym,minimal_pairs,example,memory_hint,audio_url,introduced_day,last_review,strength,notes
top,頂點；最上面,3,tɑp,1,,,,,,,,,,,,,,
try,嘗試,3,traɪ,1,,,,,,,,,,,,,,
use,使用,3,jus,1,,,,,,,,,,,,,,
war,戰爭,3,wɔr,1,,,,,,,,,,,,,,
way,方法；道路,3,weɪ,1,,,,,,,,,,,,,,
wet,濕的,3,wɛt,1,,,,,,,,,,,,,,
who,誰,3,hu,1,,,,,,,,,,,,,,
why,為什麼,3,waɪ,1,,,,,,,,,,,,,,
win,贏得,3,wɪn,1,,,,,,,,,,,,,,
yes,是,3,jɛs,1,,,,,,,,,,,,,,
yet,（否定句）尚未,3,jɛt,1,,,,,,,,,,,,,,
you,你,3,ju,1,,,,,,,,,,,,,,
ally,同盟,4,ælaɪ,2,,,-ly,,,,,,,,,,,
also,也,4,ɔlsoʊ,2,,,,,,,,,,,,,,
area,區域,4,ɛriʌ,3,,,,,,,,,,,,,,
army,軍隊,4,ɑrmi,2,,,,,,,,,,,,,,
bend,彎曲,4,bɛnd,1,,,,,,,,,,,,,,
best,最好的,4,bɛst,1,,,-est,,,,,,,,,,,
bill,帳單,4,bɪl,1,,,,,,,,,,,,,,
bird,鳥兒,4,bɝd,1,,,,,,,,,,,,,,
bite,咬,4,baɪt,1,,,,,,,,,,,,,,
blow,吹,4,bloʊ,1,,,,,,,,,,,,,,
blue,藍色的,4,blu,1,,,,,,,,,,,,,,
boat,船,4,boʊt,1,,,,,,,,,,,,,,
body,身體,4,bɑdi,2,,,,,,,,,,,,,,
bomb,炸彈,4,bɑm,1,,,,,,,,,,,,,,
bone,骨頭,4,boʊn,1,,,,,,,,,,,,,,
book,書籍,4,bʊk,1,,,,,,,,,,,,,,
boot,靴子,4,but,1,,,,,,,,,,,,,,
born,天生的,4,bɔrn,1,,,,,,,,,,,,,,
boss,老闆,4,bɑs,1,,,,,,,,,,,,,,
both,兩者,4,boʊθ,1,,,,,,,,,,,,,,
come,來,4,kʌm,1,,,,,,,,,,,,,,
cook,烹調,4,kʊk,1,,,,,,,,,,,,,,
cool,冷卻,4,kul,1,,,,,,,,,,,,,,
copy,複製；副本,4,kɑpi,2,,,,,,,,,,,,,,
cork,軟木塞,4,kɔrk,1,,,,,,,,,,,,,,
corn,玉米,4,kɔrn,1,,,,,,,,,,,,,,
cost,成本；價值,4,kɑst,1,,,,,,,,,,,,,,
crew,團隊,4,kru,1,,,,,,,,,,,,,,
crop,作物；剪短,4,krɑp,1,,,,,,,,,,,,,,
cure,治癒,4,kjʊr,1,,,,,,,,,,,,,,
dark,黑暗的,4,dɑrk,1,,,,,,,,,,,,,,
date,日期；約會,4,deɪt,1,,,,,,,,,,,,,,
dead,死亡的,4,dɛd,1,,,,,,,,,,,,,,
deaf,聾的,4,dɛf,1,,,,,,,,,,,,,,
deal,交易；處理,4,dil,1,,,-al,,,,,,,,,,,
dear,親愛的,4,dɪr,1,,,,,,,,,,,,,,
debt,債務,4,dɛt,1,,,,,,,,,,,,,,
deep,深的,4,dip,1,,,,,,,,,,,,,,
deny,否認,4,dɪnaɪ,2,,,,,,,,,,,,,,
diet,飲食,4,daɪʌt,2,,,,,,,,,,,,,,
dirt,塵土,4,dɝt,1,,,,,,,,,,,,,,
disk,圓盤；【電腦】磁盤,4,dɪsk,1,,dis-,,,,,,,,,,,,
door,門,4,dɔr,1,,,,,,,,,,,,,,
down,向下,4,daʊn,1,,,,,,,,,,,,,,
draw,畫；拉,4,drɔ,1,,,,,,,,,,,,,,
drop,落下,4,drɑp,1,,,,,,,,,,,,,,
drug,藥物,4,drʌɡ,1,,,,,,,,,,,,,,
dust,灰塵,4,dʌst,1,,,,,,,,,,,,,,
duty,職務,4,duti,2,,,,,,,,,,,,,,
each,每一個,4,itʃ,1,,,,,,,,,,,,,,
earn,賺得,4,ɝn,1,,,,,,,,,,,,,,
east,東方,4,ist,1,,,,,,,,,,,,,,
easy,簡單的,4,izi,2,,,,,,,,,,,,,,
edge,邊緣,4,ɛdʒ,1,,,,,,,,,,,,,,
else,其他,4,ɛls,1,,,,,,,,,,,,,,
even,即使,4,ivɪn,2,,,,,,,,,,,,,,
ever,在任何時候；永遠,4,ɛvɝ,2,,,-er,,,,,,,,,,,
evil,邪惡,4,ivʌl,2,,,,,,,,,,,,,,
exit,出口,4,ɛɡzɪt,2,,,,,,,,,,,,,,
face,臉孔,4,feɪs,1,,,,,,,,,,,,,,
fact,事實,4,fækt,1,,,,,,,,,,,,,,
fail,失敗,4,feɪl,1,,,,,,,,,,,,,,
fair,公平的；白皙的,4,fɛr,1,,,,,,,,,,,,,,
fall,落下,4,fɔl,1,,,,,,,,,,,,,,
fast,迅速的,4,fæst,1,,,,,,,,,,,,,,
fear,恐懼,4,fɪr,1,,,,,,,,,,,,,,
feed,餵；飼料,4,fid,1,,,-ed,,,,,,,,,,,
feel,感覺,4,fil,1,,,,,,,,,,,,,,
file,檔案；歸檔,4,faɪl,1,,,,,,,,,,,,,,
fill,填滿,4,fɪl,1,,,,,,,,,,,,,,
film,電影；軟片,4,fɪlm,1,,,,,,,,,,,,,,
find,尋找,4,faɪnd,1,,,,,,,,,,,,,,
fine,美好的；純淨的,4,faɪn,1,,,,,,,,,,,,,,
fire,火；解雇,4,faɪɝ,2,,,,,,,,,,,,,,
firm,堅定的；公司,4,fɝm,1,,,,,,,,,,,,,,
fish,魚,4,fɪʃ,1,,,,,,,,,,,,,,
fist,拳頭,4,fɪst,1,,,,,,,,,,,,,,
flag,旗幟,4,flæɡ,1,,,,,,,,,,,,,,
flat,平坦的,4,flæt,1,,,,,,,,,,,,,,
flow,流動,4,floʊ,1,,,,,,,,,,,,,,
fold,摺疊,4,foʊld,1,,,,,,,,,,,,,,
food,食物,4,fud,1,,,,,,,,,,,,,,
fool,傻瓜,4,ful,1,,,,,,,,,,,,,,
foot,腳；呎,4,fʊt,1,,,,,,,,,,,,,,
form,形式；形成,4,fɔrm,1,,,,,,,,,,,,,,
free,自由的；免費的,4,fri,1,,,,,,,,,,,,,,
from,來自……,4,frʌm,1,,,,,,,,,,,,,,
fuel,燃料,4,fjuʌl,2,,,,,,,,,,,,,,
full,滿的,4,fʊl,1,,,,,,,,,,,,,,
gain,得到,4,ɡeɪn,1,,,,,,,,,,,,,,
game,遊戲；野味,4,ɡeɪm,1,,,,,,,,,,,,,,
gang,一幫；一群,4,ɡæŋ,1,,,,,,,,,,,,,,
gift,禮物,4,ɡɪft,1,,,,,,,,,,,,,,
girl,女孩,4,ɡɝl,1,,,,,,,,,,,,,,
give,給予,4,ɡɪv,1,,,-ive,,,,,,,,,,,
goal,目標,4,ɡoʊl,1,,,-al,,,,,,,,,,,
gold,金色的；黃金,4,ɡoʊld,1,,,,,,,,,,,,,,
good,好的,4,ɡʊd,1,,,,,,,,,,,,,,
gray (grey),灰色的,4,,,,,,,,,,,,,,,,
grow,成長,4,ɡroʊ,1,,,,,,,,,,,,,,
hair,頭髮；毛髮,4,hɛr,1,,,,,,,,,,,,,,
half,一半的,4,hæf,1,,,,,,,,,,,,,,
halt,停止,4,hɔlt,1,,,,,,,,,,,,,,
hand,手,4,hænd,1,,,,,,,,,,,,,,
hang,懸掛；吊死,4,hæŋ,1,,,,,,,,,,,,,,
hard,堅硬的；困難的,4,hɑrd,1,,,,,,,,,,,,,,
hate,憎恨,4,heɪt,1,,,,,,,,,,,,,,
have,有,4,hæv,1,,,,,,,,,,,,,,
head,頭；前往……方向,4,hɛd,1,,,,,,,,,,,,,,
heal,痊癒,4,hil,1,,,-al,,,,,,,,,,,
hear,聽見,4,hir,1,,,,,,,,,,,,,,
heat,熱,4,hit,1,,,,,,,,,,,,,,
help,幫忙,4,hɛlp,1,,,,,,,,,,,,,,
here,這裡,4,hir,1,,,,,,,,,,,,,,
hide,隱藏,4,haɪd,1,,,,,,,,,,,,,,
high,高的,4,haɪ,1,,,,,,,,,,,,,,
hill,小丘,4,hɪl,1,,,,,,,,,,,,,,
hire,雇用,4,haɪɝ,2,,,,,,,,,,,,,,
hold,握著；約束,4,hoʊld,1,,,,,,,,,,,,,,
hole,洞,4,hoʊl,1,,,,,,,,,,,,,,
holy,神聖的,4,hoʊli,2,,,-ly,,,,,,,,,,,
home,家,4,hoʊm,1,,,,,,,,,,,,,,
hope,希望,4,hoʊp,1,,,,,,,,,,,,,,
hour,小時,4,aʊɝ,2,,,,,,,,,,,,,,
huge,巨大的,4,hjudʒ,1,,,,,,,,,,,,,,
hunt,打獵,4,hʌnt,1,,,,,,,,,,,,,,
hurt,傷害；疼痛,4,hɝt,1,,,,,,,,,,,,,,
idea,想法,4,aɪdiʌ,3,,,,,,,,,,,,,,
inch,吋,4,ɪntʃ,1,,in-,,,,,,,,,,,,
into,到……裡面,4,ɪntu,2,,in-,,,,,,,,,,,,
iron,鐵；熨斗,4,aɪɝn,2,,,,,,,,,,,,,,
item,項目,4,aɪtʌm,2,,,,,,,,,,,,,,
jail,監獄,4,dʒeɪl,1,,,,,,,,,,,,,,
join,參加,4,dʒɔɪn,1,,,,,,,,,,,,,,
joke,笑話,4,dʒoʊk,1,,,,,,,,,,,,,,
jump,跳,4,dʒʌmp,1,,,,,,,,,,,,,,
jury,陪審團,4,dʒʊri,2,,,,,,,,,,,,,,
just,僅……,4,dʒʌst,1,,,,,,,,,,,,,,
keep,保留,4,kip,1,,,,,,,,,,,,,,
kick,踢,4,kɪk,1,,,,,,,,,,,,,,
kill,殺死,4,kɪl,1,,,,,,,,,,,,,,
kind,種類；善良的,4,kaɪnd,1,,,,,,,,,,,,,,
king,國王,4,kɪŋ,1,,,-ing,,,,,,,,,,,
kiss,親吻,4,kɪs,1,,,,,,,,,,,,,,
know,知道；認識,4,noʊ,1,,,,,,,,,,,,,,
lack,缺乏,4,læk,1,,,,,,,,,,,,,,
lake,湖泊,4,leɪk,1,,,,,,,,,,,,,,
land,土地；登陸,4,lænd,1,,,,,,,,,,,,,,
last,最後的,4,læst,1,,,,,,,,,,,,,,
late,過世的；遲到的,4,leɪt,1,,,,,,,,,,,,,,
lead,引領,4,lɛd,1,,,,,,,,,,,,,,
leak,漏水,4,lik,1,,,,,,,,,,,,,,
left,左邊,4,lɛft,1,,,,,,,,,,,,,,
lend,借,4,lɛnd,1,,,,,,,,,,,,,,
less,較少的,4,lɛs,1,,,-less,,,,,,,,,,,
life,生活；生命,4,laɪf,1,,,,,,,,,,,,,,
lift,舉起；電梯,4,lɪft,1,,,,,,,,,,,,,,
like,喜歡；像,4,laɪk,1,,,,,,,,,,,,,,
line,線條,4,laɪn,1,,,,,,,,,,,,,,
link,連結,4,lɪŋk,1,,,,,,,,,,,,,,
list,清單；列出,4,lɪst,1,,,,,,,,,,,,,,
live,活著；有生命的,4,laɪv,1,,,-ive,,,,,,,,,,,
load,裝載,4,loʊd,1,,,,,,,,,,,,,,
loan,借出；貸款,4,loʊn,1,,,,,,,,,,,,,,
lock,鎖；鎖上,4,lɑk,1,,,,,,,,,,,,,,
lone,孤單的,4,loʊn,1,,,,,,,,,,,,,,
long,長的,4,lɔŋ,1,,,,,,,,,,,,,,
look,看；外表,4,lʊk,1,,,,,,,,,,,,,,
lose,丟失；輸掉,4,luz,1,,,,,,,,,,,,,,
loud,大聲的,4,laʊd,1,,,,,,,,,,,,,,
love,愛,4,lʌv,1,,,,,,,,,,,,,,
luck,幸運,4,lʌk,1,,,,,,,,,,,,,,
mail,郵件,4,meɪl,1,,,,,,,,,,,,,,
main,主要的,4,meɪn,1,,,,,,,,,,,,,,
make,做；製造,4,meɪk,1,,,,,,,,,,,,,,
male,男性（的）,4,meɪl,1,,,,,,,,,,,,,,
many,許多的,4,mɛni,2,,,,,,,,,,,,,,
mark,標記,4,mɑrk,1,,,,,,,,,,,,,,
meal,一餐,4,mil,1,,,-al,,,,,,,,,,,
mean,意味；卑鄙的,4,min,1,,,,,,,,,,,,,,
meat,肉,4,mit,1,,,,,,,,,,,,,,
meet,遇見；碰上,4,mit,1,,,,,,,,,,,,,,
mile,哩,4,maɪl,1,,,,,,,,,,,,,,
milk,牛奶,4,mɪlk,1,,,,,,,,,,,,,,
mind,心智；介意,4,maɪnd,1,,,,,,,,,,,,,,
mine,我的（人或事物）；礦坑,4,maɪn,1,,,,,,,,,,,,,,
miss,錯過,4,mɪs,1,,mis-,,,,,,,,,,,,
moon,月亮,4,mun,1,,,,,,,,,,,,,,
more,更多的,4,mɔr,1,,,,,,,,,,,,,,
most,大多數的,4,moʊst,1,,,,,,,,,,,,,,
move,移動,4,muv,1,,,,,,,,,,,,,,
much,很多的,4,mʌtʃ,1,,,,,,,,,,,,,,
must,必須,4,mʌst,1,,,,,,,,,,,,,,
nail,指甲；釘子,4,neɪl,1,,,,,,,,,,,,,,
name,名字,4,neɪm,1,,,,,,,,,,,,,,
navy,海軍,4,neɪvi,2,,,,,,,,,,,,,,
near,靠近……,4,nɪr,1,,,,,,,,,,,,,,
neck,脖子,4,nɛk,1,,,,,,,,,,,,,,
need,需要,4,nid,1,,,-ed,,,,,,,,,,,
news,新聞,4,nuz,1,,,,,,,,,,,,,,
next,下一個,4,nɛkst,1,,,,,,,,,,,,,,
nice,美好的；宜人的,4,naɪs,1,,,,,,,,,,,,,,
noon,正午,4,nun,1,,,,,,,,,,,,,,
nose,鼻子,4,noʊz,1,,,,,,,,,,,,,,
note,注意；筆記,4,noʊt,1,,,,,,,,,,,,,,
obey,服服,4,oʊbeɪ,2,,,,,,,,,,,,,,
once,一旦；曾經,4,wʌns,1,,,,,,,,,,,,,,
only,僅……,4,oʊnli,2,,,-ly,,,,,,,,,,,
open,打開；開啟的；開放的,4,oʊpʌn,2,,,,,,,,,,,,,,
ours,我們的,4,aʊɝz,2,,,,,,,,,,,,,,
oust,驅逐,4,aʊst,1,,,,,,,,,,,,,,
over,在……之上；超過,4,oʊvɝ,2,,over-,-er,,,,,,,,,,,
page,（書）頁,4,peɪdʒ,1,,,,,,,,,,,,,,
pain,疼痛,4,peɪn,1,,,,,,,,,,,,,,
part,一部分；離開；角色,4,pɑrt,1,,,,,,,,,,,,,,
pass,通過；通行證,4,pæs,1,,,,,,,,,,,,,,
past,過去；通過,4,pæst,1,,,,,,,,,,,,,,
path,小徑；路線,4,pæθ,1,,,,,,,,,,,,,,
pick,挑選；挑剔,4,pɪk,1,,,,,,,,,,,,,,
pint,品脫（容量）,4,paɪnt,1,,,,,,,,,,,,,,
pipe,管；煙斗,4,paɪp,1,,,,,,,,,,,,,,
plan,計畫,4,plæn,1,,,,,,,,,,,,,,
play,玩；戲劇,4,pleɪ,1,,,,,,,,,,,,,,
poor,貧窮的；不充足的,4,pur,1,,,,,,,,,,,,,,
port,港口,4,pɔrt,1,,,,,,,,,,,,,,
pour,倒；灌；注；傾瀉,4,pɔr,1,,,,,,,,,,,,,,
pray,禱告,4,preɪ,1,,,,,,,,,,,,,,
pull,拉,4,pʊl,1,,,,,,,,,,,,,,
pure,純粹的,4,pjʊr,1,,,,,,,,,,,,,,
push,推,4,pʊʃ,1,,,,,,,,,,,,,,
quit,離開；解除；停止,4,kwɪt,1,,,,,,,,,,,,,,
race,比賽,4,reɪs,1,,,,,,,,,,,,,,
raid,突襲；劫掠,4,reɪd,1,,,,,,,,,,,,,,
rail,欄杆；鐵路,4,reɪl,1,,,,,,,,,,,,,,
rain,雨；下雨,4,reɪn,1,,,,,,,,,,,,,,
rare,少見的,4,rɛr,1,,,,,,,,,,,,,,
rate,速率；比例；利率,4,reɪt,1,,,,,,,,,,,,,,
read,閱讀,4,rɛd,1,,re-,,,,,,,,,,,,
real,真實的,4,ril,1,,re-,-al,,,,,,,,,,,
rest,休息；剩餘的,4,rɛst,1,,re-,-est,,,,,,,,,,,
rice,米,4,raɪs,1,,,,,,,,,,,,,,
rich,富有的,4,rɪtʃ,1,,,,,,,,,,,,,,
ride,騎乘,4,raɪd,1,,,,,,,,,,,,,,
ring,圈；包圍；按鈴,4,rɪŋ,1,,,-ing,,,,,,,,,,,
riot,暴動,4,raɪʌt,2,,,,,,,,,,,,,,
rise,上升；增加,4,raɪz,1,,,,,,,,,,,,,,
risk,危險,4,rɪsk,1,,,,,,,,,,,,,,
road,道路,4,roʊd,1,,,,,,,,,,,,,,
rock,岩石,4,rɑk,1,,,,,,,,,,,,,,
roll,滾動；捲狀物,4,roʊl,1,,,,,,,,,,,,,,
roof,屋頂,4,ruf,1,,,,,,,,,,,,,,
room,房間,4,rum,1,,,,,,,,,,,,,,
root,根；根基,4,rut,1,,,,,,,,,,,,,,
rope,繩子,4,roʊp,1,,,,,,,,,,,,,,
ruin,毀滅；遺跡,4,ruʌn,2,,,,,,,,,,,,,,
rule,規則,4,rul,1,,,,,,,,,,,,,,
safe,安全的,4,seɪf,1,,,,,,,,,,,,,,
sail,航行,4,seɪl,1,,,,,,,,,,,,,,
salt,鹽,4,sɔlt,1,,,,,,,,,,,,,,
same,同樣的,4,seɪm,1,,,,,,,,,,,,,,
sand,沙；磨光,4,sænd,1,,,,,,,,,,,,,,
save,存（款）；拯救,4,seɪv,1,,,,,,,,,,,,,,
seat,座位,4,sit,1,,,,,,,,,,,,,,
seed,種子,4,sid,1,,,-ed,,,,,,,,,,,
seek,尋覓,4,sik,1,,,,,,,,,,,,,,
seem,看來好像,4,sim,1,,,,,,,,,,,,,,
self,自我,4,sɛlf,1,,,,,,,,,,,,,,
sell,賣；銷售,4,sɛl,1,,,,,,,,,,,,,,
send,傳送,4,sɛnd,1,,,,,,,,,,,,,,
ship,船隻；運送,4,ʃɪp,1,,,,,,,,,,,,,,
shoe,鞋子,4,ʃu,1,,,,,,,,,,,,,,
shop,店面；購物,4,ʃɑp,1,,,,,,,,,,,,,,
show,顯示；放映,4,ʃoʊ,1,,,,,,,,,,,,,,
shut,關閉,4,ʃʌt,1,,,,,,,,,,,,,,
sick,生病的；令人噁心的,4,sɪk,1,,,,,,,,,,,,,,
side,側邊；面,4,saɪd,1,,,,,,,,,,,,,,
sign,記號；徵兆；招牌,4,saɪn,1,,,,,,,,,,,,,,
silk,絲,4,sɪlk,1,,,,,,,,,,,,,,
sing,唱歌,4,sɪŋ,1,,,-ing,,,,,,,,,,,
size,尺寸,4,saɪz,1,,,,,,,,,,,,,,
skin,皮膚,4,skɪn,1,,,,,,,,,,,,,,
slip,滑動；洩漏,4,slɪp,1,,,,,,,,,,,,,,
slow,緩慢的,4,sloʊ,1,,,,,,,,,,,,,,
snow,雪；下雪,4,snoʊ,1,,,,,,,,,,,,,,
soap,肥皂,4,soʊp,1,,,,,,,,,,,,,,
soft,柔軟的；輕柔的,4,sɑft,1,,,,,,,,,,,,,,
soil,土壤；弄髒,4,sɔɪl,1,,,,,,,,,,,,,,
some,有些；一些,4,sʌm,1,,,,,,,,,,,,,,
song,歌曲,4,sɔŋ,1,,,,,,,,,,,,,,
soon,很快,4,sun,1,,,,,,,,,,,,,,
sort,種類；挑選,4,sɔrt,1,,,,,,,,,,,,,,
soul,靈魂,4,soʊl,1,,,,,,,,,,,,,,
spot,斑點；場所；認出,4,spɑt,1,,,,,,,,,,,,,,
star,恆星；明星,4,stɑr,1,,,,,,,,,,,,,,
stay,逗留；暫住；保持,4,steɪ,1,,,,,,,,,,,,,,
step,腳步；跨步,4,stɛp,1,,,,,,,,,,,,,,
stop,停止；車站,4,stɑp,1,,,,,,,,,,,,,,
such,如此的,4,sʌtʃ,1,,,,,,,,,,,,,,
suit,適合；（一套）衣服,4,sut,1,,,,,,,,,,,,,,
sure,確定的,4,ʃʊr,1,,,,,,,,,,,,,,
swim,游泳,4,swɪm,1,,,,,,,,,,,,,,
tail,尾巴,4,teɪl,1,,,,,,,,,,,,,,
